Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Gift Card,SEO Title,SEO Description,Status
signature-d-kurd-10,D Kurd 10,"<p>A versatile D minor world with immediate emotional access. The D Kurd 10 gives the player a stable centre, strong melodic movement and enough harmonic depth for meditation, songwriting and live performance.</p><ul><li><strong>Scale:</strong> D Kurd 10</li><li><strong>Notes:</strong> 10</li><li><strong>Element:</strong> Fire</li><li><strong>Level:</strong> Beginner to Professional</li><li><strong>Mood:</strong> Grounded, Emotional, Warm, Direct</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Fire, Scale: D Kurd, Beginner, Professional, Grounded, Emotional, Warm, Direct",TRUE,Title,Default Title,EH-SIG-D-KURD-10,4500,,continue,manual,1300,TRUE,TRUE,kg,FALSE,D Kurd 10 Handpan — Elements Signature Series,"D Kurd 10 — Grounded, Emotional, Warm, Direct. Beginner to Professional. Signature Series handpan by Elements, EUR 1300.",active
signature-d-kurd-12,D Kurd 12,"<p>The extended D Kurd 12 keeps the familiar emotional language of D minor while opening more melodic routes in the upper register. Forgiving for beginners and spacious for experienced improvisation.</p><ul><li><strong>Scale:</strong> D Kurd 12</li><li><strong>Notes:</strong> 12</li><li><strong>Element:</strong> Fire</li><li><strong>Level:</strong> Beginner to Professional</li><li><strong>Mood:</strong> Expressive, Stable, Warm, Melodic</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Fire, Scale: D Kurd, Beginner, Professional, Expressive, Stable, Warm, Melodic",TRUE,Title,Default Title,EH-SIG-D-KURD-12,4500,,continue,manual,1400,TRUE,TRUE,kg,FALSE,D Kurd 12 Handpan — Elements Signature Series,"D Kurd 12 — Expressive, Stable, Warm, Melodic. Beginner to Professional. Signature Series handpan by Elements, EUR 1400.",active
signature-g-minor-14,G Minor 14,"<p>A low, grounded minor instrument with a more physical bass presence than standard D-root pans. Suited to ritual intensity, weight and a strong emotional foundation with clear melodic paths.</p><ul><li><strong>Scale:</strong> G Minor 14</li><li><strong>Notes:</strong> 14</li><li><strong>Element:</strong> Earth</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Dark, Earthy, Powerful, Ceremonial</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Earth, Scale: G Minor, Intermediate, Professional, Dark, Earthy, Powerful, Ceremonial",TRUE,Title,Default Title,EH-SIG-G-MINOR-14,4500,,continue,manual,3000,TRUE,TRUE,kg,FALSE,G Minor 14 Handpan — Elements Signature Series,"G Minor 14 — Dark, Earthy, Powerful, Ceremonial. Intermediate to Professional. Signature Series handpan by Elements, EUR 3000.",active
signature-c-minor-15,C Minor 15,"<p>A broad C minor soundscape designed for inner work, ambient composition and deep listening. The extended range creates a wide emotional arc from shadowed bass tones into clear upper melodies.</p><ul><li><strong>Scale:</strong> C Minor 15</li><li><strong>Notes:</strong> 15</li><li><strong>Element:</strong> Space / Ether</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Mystical, Contemplative, Deep, Spacious</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Space / Ether, Scale: C Minor, Intermediate, Professional, Mystical, Contemplative, Deep, Spacious",TRUE,Title,Default Title,EH-SIG-C-MINOR-15,4500,,continue,manual,2800,TRUE,TRUE,kg,FALSE,C Minor 15 Handpan — Elements Signature Series,"C Minor 15 — Mystical, Contemplative, Deep, Spacious. Intermediate to Professional. Signature Series handpan by Elements, EUR 2800.",active
signature-d-aegean-10,D Aegean 10,"<p>D Aegean offers a luminous alternative to darker minor scales. Its open Lydian colour gives a floating, Mediterranean quality—excellent for peaceful improvisation and uplifting sound baths.</p><ul><li><strong>Scale:</strong> D Aegean 10</li><li><strong>Notes:</strong> 10</li><li><strong>Element:</strong> Water</li><li><strong>Level:</strong> Beginner to Intermediate</li><li><strong>Mood:</strong> Open, Bright, Flowing, Serene</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Water, Scale: D Aegean, Beginner, Intermediate, Open, Bright, Flowing, Serene",TRUE,Title,Default Title,EH-SIG-D-AEGEAN-10,4500,,continue,manual,1300,TRUE,TRUE,kg,FALSE,D Aegean 10 Handpan — Elements Signature Series,"D Aegean 10 — Open, Bright, Flowing, Serene. Beginner to Intermediate. Signature Series handpan by Elements, EUR 1300.",active
signature-f-sharp-nordlys-14,F# Nordlys 14,"<p>Nordlys has a rare northern-light character: spacious, glassy and slightly mysterious. Built for cinematic ambience, experimental melody and a sound beyond the standard handpan vocabulary.</p><ul><li><strong>Scale:</strong> F# Nordlys 14</li><li><strong>Notes:</strong> 14</li><li><strong>Element:</strong> Space / Ether</li><li><strong>Level:</strong> Advanced</li><li><strong>Mood:</strong> Cosmic, Rare, Suspended, Cinematic</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Space / Ether, Scale: F# Nordlys, Advanced, Cosmic, Rare, Suspended, Cinematic",TRUE,Title,Default Title,EH-SIG-F-SHARP-NORDLYS-14,4500,,continue,manual,3400,TRUE,TRUE,kg,FALSE,F# Nordlys 14 Handpan — Elements Signature Series,"F# Nordlys 14 — Cosmic, Rare, Suspended, Cinematic. Advanced. Signature Series handpan by Elements, EUR 3400.",active
signature-f-sharp-low-pygmy-18,F# Low Pygmy 18,"<p>F# Low Pygmy expands the classic pentatonic feeling into a much wider field, allowing hypnotic ostinatos, long floating melodies and deep harmonic movement without becoming heavy.</p><ul><li><strong>Scale:</strong> F# Low Pygmy 18</li><li><strong>Notes:</strong> 18</li><li><strong>Element:</strong> Air</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Floating, Ancient, Hypnotic, Emotional</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Air, Scale: F# Low Pygmy, Intermediate, Professional, Floating, Ancient, Hypnotic, Emotional",TRUE,Title,Default Title,EH-SIG-F-SHARP-LOW-PYGMY-18,4500,,continue,manual,3400,TRUE,TRUE,kg,FALSE,F# Low Pygmy 18 Handpan — Elements Signature Series,"F# Low Pygmy 18 — Floating, Ancient, Hypnotic, Emotional. Intermediate to Professional. Signature Series handpan by Elements, EUR 3400.",active
origins-d-kurd-10,D Kurd 10,"<p>The Origins D Kurd 10 is the accessible foundation of the collection. Classic emotional pull of D minor with simple navigation—a strong choice for teaching, first-time buyers and daily practice.</p><ul><li><strong>Scale:</strong> D Kurd 10</li><li><strong>Notes:</strong> 10</li><li><strong>Element:</strong> Fire</li><li><strong>Level:</strong> Beginner to Professional</li><li><strong>Mood:</strong> Grounded, Emotional, Direct, Warm</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Fire, Scale: D Kurd, Beginner, Professional, Grounded, Emotional, Direct, Warm",TRUE,Title,Default Title,EH-ORIG-D-KURD-10,4500,,continue,manual,1200,TRUE,TRUE,kg,FALSE,D Kurd 10 Handpan — Elements Origins,"D Kurd 10 — Grounded, Emotional, Direct, Warm. Beginner to Professional. Origins handpan by Elements, EUR 1200.",active
origins-d-kurd-18,D Kurd 18,"<p>A full extended D Kurd for players who want the classic minor language with a wider performance range. Bottom tones add body and grounding; upper notes give more melodic completion.</p><ul><li><strong>Scale:</strong> D Kurd 18</li><li><strong>Notes:</strong> 18</li><li><strong>Element:</strong> Fire</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Rich, Expressive, Grounded, Expansive</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Fire, Scale: D Kurd, Intermediate, Professional, Rich, Expressive, Grounded, Expansive",TRUE,Title,Default Title,EH-ORIG-D-KURD-18,4500,,continue,manual,2800,TRUE,TRUE,kg,FALSE,D Kurd 18 Handpan — Elements Origins,"D Kurd 18 — Rich, Expressive, Grounded, Expansive. Intermediate to Professional. Origins handpan by Elements, EUR 2800.",active
origins-f-low-pygmy-16,F Low Pygmy 16,"<p>F Low Pygmy has a primal, earthy character with steady forward movement. Hypnotic quality that works especially well for trance-like playing, ceremony and deep meditative sound.</p><ul><li><strong>Scale:</strong> F Low Pygmy 16</li><li><strong>Notes:</strong> 16</li><li><strong>Element:</strong> Earth</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Earthy, Ancient, Hypnotic, Warm</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Earth, Scale: F Low Pygmy, Intermediate, Professional, Earthy, Ancient, Hypnotic, Warm",TRUE,Title,Default Title,EH-ORIG-F-LOW-PYGMY-16,4500,,continue,manual,3000,TRUE,TRUE,kg,FALSE,F Low Pygmy 16 Handpan — Elements Origins,"F Low Pygmy 16 — Earthy, Ancient, Hypnotic, Warm. Intermediate to Professional. Origins handpan by Elements, EUR 3000.",active
